state,commute2013,commute2014,commute2015,commute2016,commute2017,commute2018,commute2019,stateGeoCode,lat,lon
Arkansas,21.4,21.7,22.1,21.2,21.6,21.7,21.9,Arkansas,35.2048883,-92.4479108
California,27.9,28.1,28.9,29.4,29.8,30.2,30.7,California,36.7014631,-118.755997
Colorado,24.6,25.1,25.4,25,25.9,25.9,26.5,Colorado,38.7251776,-105.607716
Florida,26.1,26.4,27,27.4,27.8,28,28.4,Florida,27.7567667,-81.4639835
Massachusetts,28.6,28.8,29.7,29.6,29.8,30.5,31,Massachusetts,42.3788774,-72.032366
Minnesota,23,23.4,23.4,23.5,23.8,23.8,24.4,Minnesota,45.9896587,-94.6113288
Montana,18,17.9,18,17.5,18.1,18.6,19.5,Montana,47.3752671,-109.638757
Nebraska,18.1,18.4,18.4,18.6,18.5,18.8,19.5,Nebraska,41.7370229,-99.5873816
New York,32.1,32.6,33.1,33.4,33.7,34,34,New York,40.7127281,-74.0060152
North Carolina,23.9,23.9,24.3,24.4,24.9,24.8,25.7,North Carolina,35.6729639,-79.0392919
Ohio,23.2,23.2,23.4,23.4,23.6,23.6,24.3,Ohio,40.2253569,-82.6881395
Pennsylvania,26,26.4,26.8,26.9,27.1,27.2,27.8,Pennsylvania,40.9699889,-77.7278831
Texas,25.5,25.6,26.3,26.5,26.5,26.7,27.2,Texas,31.2638905,-98.5456116
Washington,26,26.8,27.1,27.8,27.9,28.4,28.8,"Seattle, Washington",47.6038321,-122.330062
Wisconsin,22.1,21.9,22,21.9,22.2,22,22.7,Wisconsin,44.4308975,-89.6884637
